Node,Vertex Degree,Eigen Vector Centrality,Vertex Betweenness,Closeness Centrality,Pagerank,Local Clustering Co-efficient
0,0,4.1626325242205505e-17,0.0,0.07142857142857142,0.01140684410646388,nan
1,4,0.09717059413749966,27.5,0.3023255813953488,0.10071001086734159,0.3333333333333333
2,2,0.03190070774463559,0.0,0.24528301886792453,0.05545981446793843,1.0
3,3,0.03799213720502015,0.5,0.25,0.07994856371352162,0.6666666666666666
4,2,0.03190070774463561,0.0,0.24528301886792453,0.05545981446793843,1.0
5,3,0.6222187669823401,0.0,0.30952380952380953,0.06315440625538934,1.0
6,3,0.3099165264342347,32.333333333333336,0.34210526315789475,0.06885964027399621,0.0
7,7,1.0,19.833333333333336,0.34210526315789475,0.14257640420311762,0.3333333333333333
8,3,0.5345429924149352,12.5,0.34210526315789475,0.06504100298809214,0.3333333333333333
9,6,0.9549326252889335,8.833333333333334,0.3333333333333333,0.11866643568603889,0.4666666666666667
10,3,0.6039367830195526,0.0,0.2765957446808511,0.06353130917738585,1.0
11,1,0.23601703981399286,0.0,0.2653061224489796,0.02871969318827102,nan
12,4,0.6813972239148197,17.5,0.35135135135135137,0.08293475142711909,0.5
13,3,0.6039367830195524,0.0,0.2765957446808511,0.06353130917738585,1.0
