Edge Name,Community Size,Communities,Modularity,EB
"(1, 6)",2,"[[1, 2, 3, 4], [5, 6, 7, 8, 9, 10, 11, 12, 13]]",0.3730158730158729,"{(8, 9): 0.04914529914529914, (1, 3): 0.01282051282051282, (7, 11): 0.10256410256410256, (1, 2): 0.019230769230769232, (5, 12): 0.02564102564102564, (7, 12): 0.061965811965811975, (7, 10): 0.05128205128205128, (9, 13): 0.038461538461538464, (10, 13): 0.01282051282051282, (7, 13): 0.05128205128205128, (1, 4): 0.019230769230769232, (5, 9): 0.03205128205128205, (2, 3): 0.019230769230769232, (6, 12): 0.06196581196581196, (7, 9): 0.02564102564102564, (9, 10): 0.038461538461538464, (6, 8): 0.04914529914529914, (3, 4): 0.019230769230769232, (5, 7): 0.04487179487179487, (7, 8): 0.06837606837606837, (9, 12): 0.04273504273504273}"
"(7, 11)",3,"[[1, 2, 3, 4], [5, 6, 7, 8, 9, 10, 12, 13], [11]]",0.38125000000000003,"{(8, 9): 0.04914529914529914, (1, 3): 0.01282051282051282, (1, 2): 0.019230769230769232, (5, 12): 0.02564102564102564, (7, 12): 0.04273504273504273, (7, 10): 0.038461538461538464, (9, 13): 0.038461538461538464, (10, 13): 0.01282051282051282, (7, 13): 0.038461538461538464, (1, 4): 0.019230769230769232, (5, 9): 0.03205128205128205, (2, 3): 0.019230769230769232, (6, 12): 0.05555555555555555, (7, 9): 0.01282051282051282, (9, 10): 0.038461538461538464, (6, 8): 0.04273504273504273, (3, 4): 0.019230769230769232, (5, 7): 0.03205128205128205, (7, 8): 0.04914529914529914, (9, 12): 0.04273504273504273}"
"(6, 12)",3,"[[1, 2, 3, 4], [5, 6, 7, 8, 9, 10, 12, 13], [11]]",0.41551246537396125,"{(8, 9): 0.07692307692307693, (1, 3): 0.01282051282051282, (1, 2): 0.019230769230769232, (5, 12): 0.01282051282051282, (7, 12): 0.038461538461538464, (7, 10): 0.038461538461538464, (9, 13): 0.038461538461538464, (10, 13): 0.01282051282051282, (7, 13): 0.038461538461538464, (1, 4): 0.019230769230769232, (5, 9): 0.038461538461538464, (2, 3): 0.019230769230769232, (7, 9): 0.01282051282051282, (9, 10): 0.038461538461538464, (6, 8): 0.08974358974358974, (3, 4): 0.019230769230769232, (5, 7): 0.038461538461538464, (7, 8): 0.07692307692307693, (9, 12): 0.038461538461538464}"
"(6, 8)",4,"[[1, 2, 3, 4], [5, 7, 8, 9, 10, 12, 13], [6], [11]]",0.4012345679012346,"{(1, 4): 0.019230769230769232, (5, 9): 0.03205128205128205, (1, 3): 0.01282051282051282, (2, 3): 0.019230769230769232, (7, 9): 0.01282051282051282, (1, 2): 0.019230769230769232, (9, 10): 0.03205128205128205, (3, 4): 0.019230769230769232, (5, 12): 0.01282051282051282, (5, 7): 0.03205128205128205, (7, 13): 0.03205128205128205, (7, 12): 0.03205128205128205, (7, 10): 0.03205128205128205, (8, 9): 0.038461538461538464, (9, 13): 0.03205128205128205, (7, 8): 0.038461538461538464, (10, 13): 0.01282051282051282, (9, 12): 0.03205128205128205}"
"(8, 9)",4,"[[1, 2, 3, 4], [5, 7, 8, 9, 10, 12, 13], [6], [11]]",0.41522491349480967,"{(1, 4): 0.019230769230769232, (5, 9): 0.02564102564102564, (1, 3): 0.01282051282051282, (2, 3): 0.019230769230769232, (9, 10): 0.02564102564102564, (7, 9): 0.02564102564102564, (1, 2): 0.019230769230769232, (9, 13): 0.02564102564102564, (3, 4): 0.019230769230769232, (5, 12): 0.01282051282051282, (5, 7): 0.038461538461538464, (7, 13): 0.038461538461538464, (7, 12): 0.038461538461538464, (7, 10): 0.038461538461538464, (7, 8): 0.07692307692307693, (10, 13): 0.01282051282051282, (9, 12): 0.02564102564102564}"
"(7, 8)",5,"[[1, 2, 3, 4], [5, 7, 9, 10, 12, 13], [6], [8], [11]]",0.4296875,"{(1, 4): 0.019230769230769232, (5, 9): 0.02564102564102564, (1, 3): 0.01282051282051282, (2, 3): 0.019230769230769232, (9, 10): 0.02564102564102564, (7, 9): 0.01282051282051282, (1, 2): 0.019230769230769232, (9, 13): 0.02564102564102564, (5, 12): 0.01282051282051282, (5, 7): 0.02564102564102564, (7, 13): 0.02564102564102564, (7, 12): 0.02564102564102564, (7, 10): 0.02564102564102564, (3, 4): 0.019230769230769232, (10, 13): 0.01282051282051282, (9, 12): 0.02564102564102564}"
"(5, 9)",5,"[[1, 2, 3, 4], [5, 7, 9, 10, 12, 13], [6], [8], [11]]",0.4444444444444444,"{(1, 4): 0.019230769230769232, (9, 10): 0.019230769230769232, (1, 3): 0.01282051282051282, (2, 3): 0.019230769230769232, (7, 9): 0.019230769230769232, (1, 2): 0.019230769230769232, (9, 13): 0.019230769230769232, (5, 12): 0.019230769230769232, (5, 7): 0.04487179487179487, (7, 13): 0.03205128205128205, (7, 12): 0.02564102564102564, (7, 10): 0.03205128205128205, (3, 4): 0.019230769230769232, (10, 13): 0.01282051282051282, (9, 12): 0.03205128205128205}"
"(5, 7)",5,"[[1, 2, 3, 4], [5, 7, 9, 10, 12, 13], [6], [8], [11]]",0.45918367346938777,"{(1, 4): 0.019230769230769232, (9, 10): 0.02564102564102564, (1, 3): 0.01282051282051282, (2, 3): 0.019230769230769232, (7, 9): 0.01282051282051282, (1, 2): 0.019230769230769232, (9, 13): 0.02564102564102564, (5, 12): 0.0641025641025641, (7, 13): 0.02564102564102564, (7, 12): 0.05128205128205128, (7, 10): 0.02564102564102564, (3, 4): 0.019230769230769232, (10, 13): 0.01282051282051282, (9, 12): 0.05128205128205128}"
"(5, 12)",6,"[[1, 2, 3, 4], [5], [6], [9, 10, 12, 13, 7], [8], [11]]",0.47337278106508873,"{(1, 4): 0.019230769230769232, (9, 10): 0.019230769230769232, (1, 3): 0.01282051282051282, (2, 3): 0.019230769230769232, (7, 9): 0.01282051282051282, (1, 2): 0.019230769230769232, (9, 13): 0.019230769230769232, (7, 13): 0.019230769230769232, (7, 12): 0.02564102564102564, (7, 10): 0.019230769230769232, (3, 4): 0.019230769230769232, (10, 13): 0.01282051282051282, (9, 12): 0.02564102564102564}"
"(7, 12)",6,"[[1, 2, 3, 4], [5], [6], [9, 10, 12, 13, 7], [8], [11]]",0.48611111111111105,"{(1, 4): 0.019230769230769232, (9, 10): 0.02564102564102564, (1, 3): 0.01282051282051282, (2, 3): 0.019230769230769232, (7, 9): 0.02564102564102564, (1, 2): 0.019230769230769232, (9, 13): 0.02564102564102564, (7, 13): 0.01282051282051282, (7, 10): 0.01282051282051282, (3, 4): 0.019230769230769232, (10, 13): 0.01282051282051282, (9, 12): 0.05128205128205128}"
"(9, 12)",7,"[[1, 2, 3, 4], [5], [6], [9, 10, 13, 7], [8], [11], [12]]",0.49586776859504134,"{(1, 4): 0.019230769230769232, (9, 10): 0.01282051282051282, (1, 3): 0.01282051282051282, (2, 3): 0.019230769230769232, (7, 9): 0.01282051282051282, (1, 2): 0.019230769230769232, (9, 13): 0.01282051282051282, (7, 13): 0.01282051282051282, (7, 10): 0.01282051282051282, (3, 4): 0.019230769230769232, (10, 13): 0.01282051282051282}"
"(1, 4)",7,"[[1, 2, 3, 4], [5], [6], [9, 10, 13, 7], [8], [11], [12]]",0.48,"{(9, 10): 0.01282051282051282, (1, 3): 0.02564102564102564, (2, 3): 0.02564102564102564, (7, 9): 0.01282051282051282, (1, 2): 0.01282051282051282, (9, 13): 0.01282051282051282, (7, 13): 0.01282051282051282, (7, 10): 0.01282051282051282, (3, 4): 0.038461538461538464, (10, 13): 0.01282051282051282}"
"(3, 4)",8,"[[1, 2, 3], [4], [5], [6], [9, 10, 13, 7], [8], [11], [12]]",0.4444444444444444,"{(9, 10): 0.01282051282051282, (1, 3): 0.01282051282051282, (2, 3): 0.01282051282051282, (7, 9): 0.01282051282051282, (1, 2): 0.01282051282051282, (9, 13): 0.01282051282051282, (7, 13): 0.01282051282051282, (7, 10): 0.01282051282051282, (10, 13): 0.01282051282051282}"
"(9, 10)",8,"[[1, 2, 3], [4], [5], [6], [9, 10, 13, 7], [8], [11], [12]]",0.46875,"{(1, 2): 0.01282051282051282, (1, 3): 0.01282051282051282, (2, 3): 0.01282051282051282, (7, 13): 0.01282051282051282, (7, 10): 0.019230769230769232, (9, 13): 0.019230769230769232, (10, 13): 0.019230769230769232, (7, 9): 0.019230769230769232}"
"(7, 10)",8,"[[1, 2, 3], [4], [5], [6], [9, 10, 13, 7], [8], [11], [12]]",0.4897959183673469,"{(1, 2): 0.01282051282051282, (1, 3): 0.01282051282051282, (2, 3): 0.01282051282051282, (7, 13): 0.02564102564102564, (9, 13): 0.02564102564102564, (10, 13): 0.038461538461538464, (7, 9): 0.01282051282051282}"
"(10, 13)",9,"[[1, 2, 3], [4], [5], [6], [9, 13, 7], [8], [10], [11], [12]]",0.5,"{(1, 2): 0.01282051282051282, (1, 3): 0.01282051282051282, (2, 3): 0.01282051282051282, (7, 13): 0.01282051282051282, (9, 13): 0.01282051282051282, (7, 9): 0.01282051282051282}"
