Edge Removed,EB,Next Edge To Be Removed,EB,Modularity,Community Size,Communities,Louvian,Label Propagation,Infomap,Walktrap,FastGreedy,Girvan-Newman
"(1, 6)",0.4615384615384615,"(7, 11)",0.10256410256410256,0.3730158730158729,2,"[[1, 2, 3, 4], [5, 6, 7, 8, 9, 10, 11, 12, 13]]","Clustering with 14 elements and 4 clusters
[0] 0
[1] 1, 2, 3, 4
[2] 6, 8
[3] 5, 7, 9, 10, 11, 12, 13","Clustering with 14 elements and 2 clusters
[0] 1, 2, 3, 4
[1] 0, 5, 6, 7, 8, 9, 10, 11, 12, 13","Clustering with 14 elements and 3 clusters
[0] 5, 6, 7, 8, 9, 10, 11, 12, 13
[1] 1, 2, 3, 4
[2] 0","Clustering with 14 elements and 4 clusters
[0] 0
[1] 1, 2, 3, 4
[2] 5, 7, 8, 9, 10, 11, 12, 13
[3] 6","Clustering with 14 elements and 4 clusters
[0] 0
[1] 1, 2, 3, 4
[2] 5, 7, 9, 10, 11, 12, 13
[3] 6, 8","Clustering with 14 elements and 2 clusters
[0] 0
[1] 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13"
"(7, 11)",0.10256410256410256,"(6, 12)",0.05555555555555555,0.38125000000000003,3,"[[1, 2, 3, 4], [5, 6, 7, 8, 9, 10, 12, 13], [11]]"
"(6, 12)",0.05555555555555555,"(6, 8)",0.08974358974358974,0.41551246537396125,3,"[[1, 2, 3, 4], [5, 6, 7, 8, 9, 10, 12, 13], [11]]"
"(6, 8)",0.08974358974358974,"(8, 9)",0.038461538461538464,0.4012345679012346,4,"[[1, 2, 3, 4], [5, 7, 8, 9, 10, 12, 13], [6], [11]]"
"(8, 9)",0.038461538461538464,"(7, 8)",0.07692307692307693,0.41522491349480967,4,"[[1, 2, 3, 4], [5, 7, 8, 9, 10, 12, 13], [6], [11]]"
"(7, 8)",0.07692307692307693,"(5, 9)",0.02564102564102564,0.4296875,5,"[[1, 2, 3, 4], [5, 7, 9, 10, 12, 13], [6], [8], [11]]"
"(5, 9)",0.02564102564102564,"(5, 7)",0.04487179487179487,0.4444444444444444,5,"[[1, 2, 3, 4], [5, 7, 9, 10, 12, 13], [6], [8], [11]]"
"(5, 7)",0.04487179487179487,"(5, 12)",0.0641025641025641,0.45918367346938777,5,"[[1, 2, 3, 4], [5, 7, 9, 10, 12, 13], [6], [8], [11]]"
"(5, 12)",0.0641025641025641,"(7, 12)",0.02564102564102564,0.47337278106508873,6,"[[1, 2, 3, 4], [5], [6], [9, 10, 12, 13, 7], [8], [11]]"
"(7, 12)",0.02564102564102564,"(9, 12)",0.05128205128205128,0.48611111111111105,6,"[[1, 2, 3, 4], [5], [6], [9, 10, 12, 13, 7], [8], [11]]"
"(9, 12)",0.05128205128205128,"(1, 4)",0.019230769230769232,0.49586776859504134,7,"[[1, 2, 3, 4], [5], [6], [9, 10, 13, 7], [8], [11], [12]]"
"(1, 4)",0.019230769230769232,"(3, 4)",0.038461538461538464,0.48,7,"[[1, 2, 3, 4], [5], [6], [9, 10, 13, 7], [8], [11], [12]]"
"(3, 4)",0.038461538461538464,"(9, 10)",0.01282051282051282,0.4444444444444444,8,"[[1, 2, 3], [4], [5], [6], [9, 10, 13, 7], [8], [11], [12]]"
"(9, 10)",0.01282051282051282,"(7, 10)",0.019230769230769232,0.46875,8,"[[1, 2, 3], [4], [5], [6], [9, 10, 13, 7], [8], [11], [12]]"
"(7, 10)",0.019230769230769232,"(10, 13)",0.038461538461538464,0.4897959183673469,8,"[[1, 2, 3], [4], [5], [6], [9, 10, 13, 7], [8], [11], [12]]"
"(10, 13)",0.038461538461538464,"(1, 2)",0.01282051282051282,0.5,9,"[[1, 2, 3], [4], [5], [6], [9, 13, 7], [8], [10], [11], [12]]"
"(1, 2)",0.01282051282051282,"(1, 3)",0.02564102564102564,0.48,9,"[[1, 2, 3], [4], [5], [6], [9, 13, 7], [8], [10], [11], [12]]"
"(1, 3)",0.02564102564102564,"(2, 3)",0.01282051282051282,0.375,10,"[[1], [2, 3], [4], [5], [6], [9, 13, 7], [8], [10], [11], [12]]"
"(2, 3)",0.01282051282051282,"(7, 13)",0.01282051282051282,0.0,11,"[[1], [2], [3], [4], [5], [6], [9, 13, 7], [8], [10], [11], [12]]"
"(7, 13)",0.01282051282051282,"(9, 13)",0.02564102564102564,0.0,11,"[[1], [2], [3], [4], [5], [6], [9, 13, 7], [8], [10], [11], [12]]"
"(9, 13)",0.02564102564102564,"(7, 9)",0.01282051282051282,0.0,12,"[[1], [2], [3], [4], [5], [6], [9, 7], [8], [10], [11], [12], [13]]"
