Edge Name,Community Size,Communities,Modularity
"(0, 1)",2,"(set([0, 2, 3, 4, 5, 6, 10, 11, 12, 13]), set([8, 1, 7, 9]))",0.555765595463138
"(0, 3)",2,"(set([0, 2, 3, 4, 5, 6, 10, 11, 12, 13]), set([8, 1, 7, 9]))",0.600206611570248
"(0, 2)",3,"(set([0, 10, 11, 12, 13]), set([8, 1, 7, 9]), set([2, 3, 4, 5, 6]))",0.6485260770975056
"(2, 5)",3,"(set([0, 10, 11, 12, 13]), set([8, 1, 7, 9]), set([2, 3, 4, 5, 6]))",0.645
"(2, 6)",4,"(set([0, 10, 11, 12, 13]), set([8, 1, 7, 9]), set([2]), set([3, 4, 5, 6]))",0.6371191135734071
"(5, 6)",4,"(set([0, 10, 11, 12, 13]), set([8, 1, 7, 9]), set([2]), set([3, 4, 5, 6]))",0.6234567901234568
"(3, 6)",5,"(set([0, 10, 11, 12, 13]), set([8, 1, 7, 9]), set([2]), set([3, 4, 5]), set([6]))",0.6020761245674741
"(7, 9)",5,"(set([0, 10, 11, 12, 13]), set([8, 1, 7, 9]), set([2]), set([3, 4, 5]), set([6]))",0.5859375
"(7, 8)",6,"(set([0, 10, 11, 12, 13]), set([8, 1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]))",0.56
"(10, 12)",6,"(set([0, 10, 11, 12, 13]), set([8, 1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]))",0.5816326530612245
"(0, 12)",6,"(set([0, 10, 11, 12, 13]), set([8, 1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]))",0.6035502958579881
"(12, 13)",7,"(set([0, 10, 11, 13]), set([8, 1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]), set([12]))",0.625
"(8, 9)",7,"(set([0, 10, 11, 13]), set([8, 1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]), set([12]))",0.5950413223140496
"(1, 8)",8,"(set([0, 10, 11, 13]), set([1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]), set([8]), set([12]))",0.5399999999999999
"(0, 10)",8,"(set([0, 10, 11, 13]), set([1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]), set([8]), set([12]))",0.5679012345679012
"(10, 11)",8,"(set([0, 10, 11, 13]), set([1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]), set([8]), set([12]))",0.59375
"(10, 13)",9,"(set([0, 11, 13]), set([1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]), set([8]), set([10]), set([12]))",0.6122448979591837
"(0, 13)",9,"(set([0, 11, 13]), set([1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]), set([8]), set([10]), set([12]))",0.6111111111111112
"(0, 11)",10,"(set([0]), set([1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]), set([8]), set([10]), set([11, 13]), set([12]))",0.56
"(4, 5)",10,"(set([0]), set([1, 9]), set([2]), set([3, 4, 5]), set([6]), set([7]), set([8]), set([10]), set([11, 13]), set([12]))",0.625
"(3, 5)",11,"(set([0]), set([1, 9]), set([2]), set([3, 4]), set([5]), set([6]), set([7]), set([8]), set([10]), set([11, 13]), set([12]))",0.6666666666666666
"(1, 9)",12,"(set([0]), set([1]), set([2]), set([3, 4]), set([5]), set([6]), set([7]), set([8]), set([9]), set([10]), set([11, 13]), set([12]))",0.5
"(3, 4)",13,"(set([0]), set([1]), set([2]), set([3]), set([4]), set([5]), set([6]), set([7]), set([8]), set([9]), set([10]), set([11, 13]), set([12]))",0.0
